externalPersonKey,eventKey,outcome,resultText,evidenceKey,confirmedBy,confirmedAt
DEMO-P001,PB-G1,PASSED,ДЕМО — положительный результат из синтетической ведомости,DEMO-RESULTS-G1,DEMO-RESPONSIBLE,2026-09-22T10:00:00Z
DEMO-P002,PB-G1,PASSED,ДЕМО — положительный результат из синтетической ведомости,DEMO-RESULTS-G1,DEMO-RESPONSIBLE,2026-09-22T10:00:00Z
DEMO-P003,PB-G1,PASSED,ДЕМО — положительный результат из синтетической ведомости,DEMO-RESULTS-G1,DEMO-RESPONSIBLE,2026-09-22T10:00:00Z
DEMO-P004,PB-G1,PASSED,ДЕМО — положительный результат из синтетической ведомости,DEMO-RESULTS-G1,DEMO-RESPONSIBLE,2026-09-22T10:00:00Z
DEMO-P005,PB-G1,PASSED,ДЕМО — положительный результат из синтетической ведомости,DEMO-RESULTS-G1,DEMO-RESPONSIBLE,2026-09-22T10:00:00Z
DEMO-P006,PB-G1,PASSED,ДЕМО — положительный результат из синтетической ведомости,DEMO-RESULTS-G1,DEMO-RESPONSIBLE,2026-09-22T10:00:00Z
DEMO-P007,PB-G1,PASSED,ДЕМО — положительный результат из синтетической ведомости,DEMO-RESULTS-G1,DEMO-RESPONSIBLE,2026-09-22T10:00:00Z
DEMO-P008,PB-G1,PASSED,ДЕМО — положительный результат из синтетической ведомости,DEMO-RESULTS-G1,DEMO-RESPONSIBLE,2026-09-22T10:00:00Z
DEMO-P009,PB-G1,PASSED,ДЕМО — положительный результат из синтетической ведомости,DEMO-RESULTS-G1,DEMO-RESPONSIBLE,2026-09-22T10:00:00Z
DEMO-P010,PB-G1,PASSED,ДЕМО — положительный результат из синтетической ведомости,DEMO-RESULTS-G1,DEMO-RESPONSIBLE,2026-09-22T10:00:00Z
DEMO-P011,PB-G1,PASSED,ДЕМО — положительный результат из синтетической ведомости,DEMO-RESULTS-G1,DEMO-RESPONSIBLE,2026-09-22T10:00:00Z
DEMO-P012,PB-G1,PASSED,ДЕМО — положительный результат из синтетической ведомости,DEMO-RESULTS-G1,DEMO-RESPONSIBLE,2026-09-22T10:00:00Z
DEMO-P013,PB-G1,PASSED,ДЕМО — положительный результат из синтетической ведомости,DEMO-RESULTS-G1,DEMO-RESPONSIBLE,2026-09-22T10:00:00Z
DEMO-P014,PB-G1,PASSED,ДЕМО — положительный результат из синтетической ведомости,DEMO-RESULTS-G1,DEMO-RESPONSIBLE,2026-09-22T10:00:00Z
DEMO-P015,PB-G1,PASSED,ДЕМО — положительный результат из синтетической ведомости,DEMO-RESULTS-G1,DEMO-RESPONSIBLE,2026-09-22T10:00:00Z
DEMO-P016,PB-G1,PASSED,ДЕМО — положительный результат из синтетической ведомости,DEMO-RESULTS-G1,DEMO-RESPONSIBLE,2026-09-22T10:00:00Z
